num,day,lognum
80630,1,4.90649666
101503,2,5.006478878
91477,3,4.961311913
107134,4,5.02992732
153880,5,5.187182178
137586,6,5.138574245
132726,7,5.122956006
169484,8,5.229128705
205880,9,5.31361416
209609,10,5.321409926
222197,11,5.346738191
220950,12,5.344294006
280622,13,5.448121716
243964,14,5.387325745
273727,15,5.437317638
241489,16,5.382897353
269929,17,5.431249546
258038,18,5.411683667
276404,19,5.441544324
302348,20,5.4805071
331844,21,5.52093397
296968,22,5.472709654
313220,23,5.495849485
294687,24,5.469360978
341314,25,5.533154103
351663,26,5.546126677
361908,27,5.558598183
358176,28,5.554096482
359679,29,5.555915082
319698,30,5.504739919
311018,31,5.492785524
288228,32,5.459736168
336236,33,5.52664421
305372,34,5.484829213
304830,35,5.484057706
278826,36,5.445333268
269885,37,5.431178747
277471,38,5.443217599
261521,39,5.417506568
287836,40,5.459145111
289721,41,5.461979976
342003,42,5.534029916
265238,43,5.423635744
282327,44,5.450752413
273306,45,5.436649166
278731,46,5.445185273
306356,47,5.48622639
277576,48,5.443381913
250674,49,5.399109291
255907,50,5.408082166
248363,51,5.395086897
250413,52,5.398656871
251094,53,5.399836335
240137,54,5.380459081
257304,55,5.410446538
240018,56,5.380243813
203730,57,5.309054985
229895,58,5.361529526
218595,59,5.339640224
218595,60,5.339640224
207473,61,5.316961587
201799,62,5.30491901
208884,63,5.319905175
226349,64,5.35477858
192049,65,5.28341205
179436,66,5.253909579
185406,67,5.268123784
202855,68,5.307185717
217856,69,5.338169525
169071,70,5.228069121
179830,71,5.254862144
156311,72,5.193989541
154987,73,5.190295272
173636,74,5.239639773
160161,75,5.204556772
156785,76,5.19530451
169066,77,5.228056278
150197,78,5.176661258
149507,79,5.174661527
165468,80,5.218714018
173696,81,5.239789817
149070,82,5.173390251
158139,83,5.199038988
135219,84,5.13103772
144648,85,5.160312433
155079,86,5.190552992
124532,87,5.095280963
129651,88,5.112775871
121356,89,5.084061253
117856,90,5.071351697
117761,91,5.071001485
141158,92,5.149705496
134210,93,5.127784876
126241,94,5.101200426
109828,95,5.040713075
114907,96,5.060346486
123255,97,5.090804546
113448,98,5.054796844
129991,99,5.113913285
107987,100,5.033371476
106681,101,5.028087078
112383,102,5.050700621
108899,103,5.037023892
102007,104,5.008629975
97955,105,4.991026609
119232,106,5.076392829
95562,107,4.98028523
97452,108,4.988790757
91548,109,4.961648861
103153,110,5.013481863
98967,111,4.995490406
88974,112,4.949263116
106652,113,5.027969004
77991,114,4.892044489
77658,115,4.890186202
95643,116,4.98065319
85817,117,4.933573328
107750,118,5.032417279
85979,119,4.93439239
76292,120,4.882479
74458,121,4.871911367
72518,122,4.860445818
88932,123,4.949058059
74412,124,4.871642977
79446,125,4.900072036
75673,126,4.878940952
77585,127,4.889777764
73225,128,4.86465938
67115,129,4.826819595
68349,130,4.834732165
70722,131,4.849554534
73933,132,4.868838329
70920,133,4.850768727
69884,134,4.844377755
66814,135,4.824867473
67909,136,4.831927335
66431,137,4.82237079
63380,138,4.801952235
62723,139,4.797426822
63188,140,4.800634609
63846,141,4.805133694
60069,142,4.778650402
56839,143,4.754646429
60969,144,4.785109072
62768,145,4.797738291
63241,146,4.800998729
61278,147,4.787304582
65431,148,4.815783558
58263,149,4.765392843
56738,150,4.753874023
58478,151,4.766992511
58991,152,4.770785758
61026,153,4.785514905
60020,154,4.778295991
55376,155,4.743321582
51958,156,4.715652426
56684,157,4.753460489
53802,158,4.73079842
59968,159,4.777919565
55989,160,4.748102711
53430,161,4.727785174
54665,162,4.737709352
47205,163,4.673988002
55359,164,4.743188236
50484,165,4.703153758
53342,166,4.727069295
47645,167,4.678017331
53111,168,4.725184479
50617,169,4.704296402
46089,170,4.663597285
50450,171,4.702861171
47986,172,4.68111455
47312,173,4.674971307
45645,174,4.659393211
44212,175,4.645540161
47248,176,4.67438343
41765,177,4.620812486
40486,178,4.607304871
42645,179,4.629868119
44578,180,4.64912058
47344,181,4.675264948
43407,182,4.637559771
42806,183,4.631504647
47094,184,4.672965579
41785,185,4.621020407
40545,186,4.607937305
46910,187,4.671265433
46246,188,4.665074175
40549,189,4.607980148
39234,190,4.593662588
38769,191,4.588484599
39611,192,4.597815807
42574,193,4.629144456
39667,194,4.598429356
42237,195,4.625693064
39086,196,4.592021228
43099,197,4.634467194
